date,hour_start,price_sterling,price_dollar,notes
07/01/2017,4,40.92,53.6052,
07/01/2017,5,40.34,52.8454,
07/01/2017,6,37.91,49.6621,
07/01/2017,7,40,52.4,
07/01/2017,8,41.83,54.7973,
07/01/2017,9,53,69.43,
07/01/2017,10,53.91,70.6221,
07/01/2017,11,53.47,70.0457,
07/01/2017,12,53.26,69.7706,
07/01/2017,13,46.04,60.3124,
07/01/2017,14,44.51,58.3081,
07/01/2017,15,49.38,64.6878,
07/01/2017,16,61.53,80.6043,
07/01/2017,17,92.6,121.306,
07/01/2017,18,68.55,89.8005,
07/01/2017,19,57.02,74.6962,
07/01/2017,20,50.14,65.6834,
07/01/2017,21,48.52,63.5612,
07/01/2017,22,40.99,53.6969,
08/01/2017,23,44.03,57.6793,
08/01/2017,0,44.8,58.688,
08/01/2017,1,46.32,60.6792,
08/01/2017,2,41.94,54.9414,
08/01/2017,3,40.08,52.5048,
08/01/2017,4,40.08,52.5048,
08/01/2017,5,39.37,51.5747,
08/01/2017,6,41.86,54.8366,
08/01/2017,7,35.01,45.8631,
08/01/2017,8,39,51.09,
08/01/2017,9,48.49,63.5219,
08/01/2017,10,49.07,64.2817,
08/01/2017,11,56.03,73.3993,
08/01/2017,12,53.95,70.6745,
08/01/2017,13,47.9,62.749,
08/01/2017,14,46.38,60.7578,
08/01/2017,15,47.32,61.9892,
08/01/2017,16,60.76,79.5956,
08/01/2017,17,94.95,124.3845,
08/01/2017,18,67.48,88.3988,
08/01/2017,19,58.82,77.0542,
08/01/2017,20,55,72.05,
08/01/2017,21,41.16,53.9196,
08/01/2017,22,35.65,46.7015,
09/01/2017,23,39.78,52.1118,
09/01/2017,0,42.57,55.7667,
09/01/2017,1,41.79,54.7449,
09/01/2017,2,37.49,49.1119,
09/01/2017,3,34,44.54,
09/01/2017,4,33,43.23,
09/01/2017,5,37.55,49.1905,
09/01/2017,6,47.82,62.6442,
09/01/2017,7,46.39,60.7709,
09/01/2017,8,56.29,73.7399,
09/01/2017,9,55.21,72.3251,
09/01/2017,10,51.39,67.3209,
09/01/2017,11,50.2,65.762,
09/01/2017,12,46.96,61.5176,
09/01/2017,13,43.54,57.0374,
09/01/2017,14,41.46,54.3126,
09/01/2017,15,43.54,57.0374,
09/01/2017,16,64.73,84.7963,
09/01/2017,17,82.38,107.9178,
09/01/2017,18,66.89,87.6259,
09/01/2017,19,59.83,78.3773,
09/01/2017,20,52.46,68.7226,
09/01/2017,21,40.48,53.0288,
09/01/2017,22,28.87,37.8197,
10/01/2017,23,41.9,54.889,
10/01/2017,0,42.56,55.7536,
10/01/2017,1,40.93,53.6183,
10/01/2017,2,40.02,52.4262,
10/01/2017,3,36.54,47.8674,
10/01/2017,4,33.7,44.147,
10/01/2017,5,38.99,51.0769,
10/01/2017,6,46.1,60.391,
10/01/2017,7,44.82,58.7142,
10/01/2017,8,49.5,64.845,
10/01/2017,9,49.13,64.3603,
10/01/2017,10,47.85,62.6835,
10/01/2017,11,51.06,66.8886,
10/01/2017,12,45.99,60.2469,
10/01/2017,13,51.43,67.3733,
10/01/2017,14,54.5,71.395,
10/01/2017,15,55.31,72.4561,
10/01/2017,16,74.69,97.8439,
10/01/2017,17,89.2,116.852,
10/01/2017,18,74.59,97.7129,
10/01/2017,19,55.11,72.1941,
10/01/2017,20,58.39,76.4909,
10/01/2017,21,47.06,61.6486,
10/01/2017,22,40.81,53.4611,
11/01/2017,23,45.06,59.0286,
11/01/2017,0,49.91,65.3821,
11/01/2017,1,45.04,59.0024,
11/01/2017,2,41.96,54.9676,
11/01/2017,3,39.91,52.2821,
11/01/2017,4,35.91,47.0421,
11/01/2017,5,40.02,52.4262,
11/01/2017,6,45.93,60.1683,
11/01/2017,7,49.4,64.714,
11/01/2017,8,48.82,63.9542,
11/01/2017,9,52.96,69.3776,
11/01/2017,10,55,72.05,
11/01/2017,11,51.32,67.2292,
11/01/2017,12,46.85,61.3735,
11/01/2017,13,48.56,63.6136,
11/01/2017,14,53.04,69.4824,
11/01/2017,15,50,65.5,
11/01/2017,16,59.82,78.3642,
11/01/2017,17,81.51,106.7781,
11/01/2017,18,71.25,93.3375,
11/01/2017,19,59.09,77.4079,
11/01/2017,20,53.27,69.7837,
11/01/2017,21,49.82,65.2642,
11/01/2017,22,41.91,54.9021,
12/01/2017,23,43.96,57.5876,
12/01/2017,0,46.95,61.5045,
12/01/2017,1,45,58.95,
12/01/2017,2,43.54,57.0374,
12/01/2017,3,41.07,53.8017,
12/01/2017,4,40.93,53.6183,
12/01/2017,5,44.9,58.819,
12/01/2017,6,49.82,65.2642,
12/01/2017,7,46.95,61.5045,
12/01/2017,8,48,62.88,
12/01/2017,9,49.49,64.8319,
12/01/2017,10,53.66,70.2946,
12/01/2017,11,60,78.6,
12/01/2017,12,62.25,81.5475,
12/01/2017,13,57.63,75.4953,
12/01/2017,14,50,65.5,
12/01/2017,15,45,58.95,
12/01/2017,16,67.78,88.7918,
12/01/2017,17,79.99,104.7869,
12/01/2017,18,68.89,90.2459,
12/01/2017,19,60,78.6,
12/01/2017,20,52.02,68.1462,
12/01/2017,21,49.95,65.4345,
12/01/2017,22,43.6,57.116,
13/01/2017,23,50.07,65.5917,
13/01/2017,0,45.37,59.4347,
13/01/2017,1,44.46,58.2426,
13/01/2017,2,42.9,56.199,
13/01/2017,3,38.7,50.697,
13/01/2017,4,41.04,53.7624,
13/01/2017,5,44.09,57.7579,
13/01/2017,6,47.17,61.7927,
13/01/2017,7,56.24,73.6744,
13/01/2017,8,57.97,75.9407,
13/01/2017,9,56.98,74.6438,
13/01/2017,10,54.49,71.3819,
13/01/2017,11,54.03,70.7793,
13/01/2017,12,55,72.05,
13/01/2017,13,47.57,62.3167,
13/01/2017,14,48.09,62.9979,
13/01/2017,15,47.07,61.6617,
13/01/2017,16,63.58,83.2898,
13/01/2017,17,89.51,117.2581,
13/01/2017,18,81.22,106.3982,
13/01/2017,19,65.49,85.7919,
13/01/2017,20,58.04,76.0324,
13/01/2017,21,52.06,68.1986,
13/01/2017,22,47.99,62.8669,
14/01/2017,23,47.95,62.8145,
14/01/2017,0,49.91,65.3821,
14/01/2017,1,48.42,63.4302,
14/01/2017,2,44,57.64,
14/01/2017,3,42.5,55.675,
14/01/2017,4,41.33,54.1423,
14/01/2017,5,41.9,54.889,
14/01/2017,6,43.03,56.3693,
14/01/2017,7,43.4,56.854,
14/01/2017,8,47.24,61.8844,
14/01/2017,9,53.82,70.5042,
14/01/2017,10,56.52,74.0412,
14/01/2017,11,54.1,70.871,
14/01/2017,12,52.1,68.251,
14/01/2017,13,50.22,65.7882,
14/01/2017,14,49.7,65.107,
14/01/2017,15,46.92,61.4652,
14/01/2017,16,62.02,81.2462,
14/01/2017,17,94.96,124.3976,
14/01/2017,18,74.95,98.1845,
14/01/2017,19,65.4,85.674,
14/01/2017,20,59.35,77.7485,
14/01/2017,21,48.43,63.4433,
14/01/2017,22,44.04,57.6924,
15/01/2017,23,55.21,72.3251,
15/01/2017,0,49.92,65.3952,
15/01/2017,1,46.88,61.4128,
15/01/2017,2,43.91,57.5221,
15/01/2017,3,42.55,55.7405,
15/01/2017,4,40.99,53.6969,
15/01/2017,5,38,49.78,
15/01/2017,6,42.1,55.151,
15/01/2017,7,38.99,51.0769,
15/01/2017,8,40.99,53.6969,
15/01/2017,9,49.07,64.2817,
15/01/2017,10,50,65.5,
15/01/2017,11,56.72,74.3032,
15/01/2017,12,55.98,73.3338,
15/01/2017,13,52.2,68.382,
15/01/2017,14,51.29,67.1899,
15/01/2017,15,48.61,63.6791,
15/01/2017,16,62.21,81.4951,
15/01/2017,17,91.36,119.6816,
15/01/2017,18,73.47,96.2457,
15/01/2017,19,65.24,85.4644,
15/01/2017,20,62.9,82.399,
15/01/2017,21,51.99,68.1069,
15/01/2017,22,44.05,57.7055,
16/01/2017,23,47.01,61.5831,
16/01/2017,0,45.6,59.736,
16/01/2017,1,42.82,56.0942,
16/01/2017,2,38,49.78,
16/01/2017,3,36.55,47.8805,
16/01/2017,4,40.99,53.6969,
16/01/2017,5,44.2,57.902,
16/01/2017,6,59.63,78.1153,
16/01/2017,7,46.6,61.046,
16/01/2017,8,51.36,67.2816,
16/01/2017,9,54.92,71.9452,
16/01/2017,10,51.5,67.465,
16/01/2017,11,57.69,75.5739,
16/01/2017,12,60.8,79.648,
16/01/2017,13,60.4,79.124,
16/01/2017,14,71.9,94.189,
16/01/2017,15,64.92,85.0452,
16/01/2017,16,1.02,1.3362,
16/01/2017,17,1.12,1.4672,
16/01/2017,18,1.53,2.0043,
16/01/2017,19,79.94,104.7214,
16/01/2017,20,63.9,83.709,
16/01/2017,21,47.02,61.5962,
16/01/2017,22,42.03,55.0593,
17/01/2017,23,43.71,57.2601,
17/01/2017,0,44.53,58.3343,
17/01/2017,1,44.01,57.6531,
17/01/2017,2,41.59,54.4829,
17/01/2017,3,40,52.4,
17/01/2017,4,39.97,52.3607,
17/01/2017,5,40.45,52.9895,
17/01/2017,6,45,58.95,
17/01/2017,7,58,75.98,
17/01/2017,8,74.08,97.0448,
17/01/2017,9,79.98,104.7738,
17/01/2017,10,79.92,104.6952,
17/01/2017,11,75.02,98.2762,
17/01/2017,12,74.47,97.5557,
17/01/2017,13,59.82,78.3642,
17/01/2017,14,59.71,78.2201,
17/01/2017,15,66,86.46,
17/01/2017,16,1.66,2.1746,
17/01/2017,17,1.12,1.4672,
17/01/2017,18,1.42,1.8602,
17/01/2017,19,84.98,111.3238,
17/01/2017,20,54.44,71.3164,
17/01/2017,21,49,64.19,
17/01/2017,22,42.69,55.9239,
18/01/2017,23,44.66,58.5046,
18/01/2017,0,44,57.64,
18/01/2017,1,43.01,56.3431,
18/01/2017,2,42.04,55.0724,
18/01/2017,3,41.02,53.7362,
18/01/2017,4,39.94,52.3214,
18/01/2017,5,41.09,53.8279,
18/01/2017,6,47,61.57,
18/01/2017,7,51.09,66.9279,
18/01/2017,8,64.97,85.1107,
18/01/2017,9,59.5,77.945,
18/01/2017,10,60,78.6,
18/01/2017,11,62.42,81.7702,
18/01/2017,12,55.41,72.5871,
18/01/2017,13,50,65.5,
18/01/2017,14,52.39,68.6309,
18/01/2017,15,78,102.18,
18/01/2017,16,1,1.31,
18/01/2017,17,1.94,2.5414,
18/01/2017,18,1.35,1.7685,
18/01/2017,19,84.94,111.2714,
18/01/2017,20,56.66,74.2246,
18/01/2017,21,48.01,62.8931,
18/01/2017,22,42.58,55.7798,
19/01/2017,23,43.3,56.723,
19/01/2017,0,43.57,57.0767,
19/01/2017,1,43.07,56.4217,
19/01/2017,2,42.55,55.7405,
19/01/2017,3,41.96,54.9676,
19/01/2017,4,41.02,53.7362,
19/01/2017,5,42.5,55.675,
19/01/2017,6,47.34,62.0154,
19/01/2017,7,51.93,68.0283,
19/01/2017,8,49.05,64.2555,
19/01/2017,9,61.6,80.696,
19/01/2017,10,54.44,71.3164,
19/01/2017,11,56.86,74.4866,
19/01/2017,12,59.97,78.5607,
19/01/2017,13,54.1,70.871,
19/01/2017,14,48,62.88,
19/01/2017,15,61.1,80.041,
19/01/2017,16,84.87,111.1797,
19/01/2017,17,1.81,2.3711,
19/01/2017,18,98.31,128.7861,
19/01/2017,19,79.7,104.407,
19/01/2017,20,54.44,71.3164,
19/01/2017,21,45.06,59.0286,
19/01/2017,22,43.32,56.7492,
20/01/2017,23,45.08,59.0548,
20/01/2017,0,45.44,59.5264,
20/01/2017,1,44.96,58.8976,
20/01/2017,2,43.09,56.4479,
20/01/2017,3,41.99,55.0069,
20/01/2017,4,41.66,54.5746,
20/01/2017,5,43.97,57.6007,
20/01/2017,6,45.51,59.6181,
20/01/2017,7,52,68.12,
20/01/2017,8,63.47,83.1457,
20/01/2017,9,64.96,85.0976,
20/01/2017,10,58.53,76.6743,
20/01/2017,11,45.53,59.6443,
20/01/2017,12,45.37,59.4347,
20/01/2017,13,45.08,59.0548,
20/01/2017,14,45.04,59.0024,
20/01/2017,15,45.26,59.2906,
20/01/2017,16,77.19,101.1189,
20/01/2017,17,96.11,125.9041,
20/01/2017,18,62.96,82.4776,
20/01/2017,19,59.05,77.3555,
20/01/2017,20,50.32,65.9192,
20/01/2017,21,49.5,64.845,
20/01/2017,22,43.49,56.9719,
21/01/2017,23,45.99,60.2469,
21/01/2017,0,50.06,65.5786,
21/01/2017,1,46.36,60.7316,
21/01/2017,2,44.98,58.9238,
21/01/2017,3,43.52,57.0112,
21/01/2017,4,41.94,54.9414,
21/01/2017,5,42.93,56.2383,
21/01/2017,6,41.02,53.7362,
21/01/2017,7,43.86,57.4566,
21/01/2017,8,47.26,61.9106,
21/01/2017,9,54.44,71.3164,
21/01/2017,10,56,73.36,
21/01/2017,11,53.96,70.6876,
21/01/2017,12,50,65.5,
21/01/2017,13,45.54,59.6574,
21/01/2017,14,45.52,59.6312,
21/01/2017,15,45.09,59.0679,
21/01/2017,16,58.73,76.9363,
21/01/2017,17,80.01,104.8131,
21/01/2017,18,80.01,104.8131,
21/01/2017,19,59.77,78.2987,
21/01/2017,20,53.09,69.5479,
21/01/2017,21,52.04,68.1724,
21/01/2017,22,45.03,58.9893,
22/01/2017,23,46.54,60.9674,
22/01/2017,0,47.34,62.0154,
22/01/2017,1,48.36,63.3516,
22/01/2017,2,44.53,58.3343,
22/01/2017,3,43.5,56.985,
22/01/2017,4,41.98,54.9938,
22/01/2017,5,41.19,53.9589,
22/01/2017,6,43.05,56.3955,
22/01/2017,7,42.86,56.1466,
22/01/2017,8,43.62,57.1422,
22/01/2017,9,49.42,64.7402,
22/01/2017,10,63.4,83.054,
22/01/2017,11,53,69.43,
22/01/2017,12,54.71,71.6701,
22/01/2017,13,50.77,66.5087,
22/01/2017,14,49.48,64.8188,
22/01/2017,15,51.73,67.7663,
22/01/2017,16,56.92,74.5652,
22/01/2017,17,84.26,110.3806,
22/01/2017,18,81.6,106.896,
22/01/2017,19,69.91,91.5821,
22/01/2017,20,62,81.22,
22/01/2017,21,50.39,66.0109,
22/01/2017,22,44.03,57.6793,
23/01/2017,23,44.05,57.7055,
23/01/2017,0,45.03,58.9893,
23/01/2017,1,44.58,58.3998,
23/01/2017,2,44.03,57.6793,
23/01/2017,3,43.91,57.5221,
23/01/2017,4,42.6,55.806,
23/01/2017,5,41.99,55.0069,
23/01/2017,6,50.36,65.9716,
23/01/2017,7,49.9,65.369,
23/01/2017,8,57.78,75.6918,
23/01/2017,9,65.16,85.3596,
23/01/2017,10,55.93,73.2683,
23/01/2017,11,57.36,75.1416,
23/01/2017,12,55.1,72.181,
23/01/2017,13,55.47,72.6657,
23/01/2017,14,55.07,72.1417,
23/01/2017,15,55.47,72.6657,
23/01/2017,16,92.97,121.7907,
23/01/2017,17,1.01,1.3231,
23/01/2017,18,80,104.8,
23/01/2017,19,57.97,75.9407,
23/01/2017,20,66.57,87.2067,
23/01/2017,21,45.17,59.1727,
23/01/2017,22,43.7,57.247,
24/01/2017,23,46.65,61.1115,
24/01/2017,0,45.74,59.9194,
24/01/2017,1,45.05,59.0155,
24/01/2017,2,44.54,58.3474,
24/01/2017,3,43.55,57.0505,
24/01/2017,4,43.07,56.4217,
24/01/2017,5,44.22,57.9282,
24/01/2017,6,55.58,72.8098,
24/01/2017,7,45.05,59.0155,
24/01/2017,8,61.89,81.0759,
24/01/2017,9,65.54,85.8574,
24/01/2017,10,60.93,79.8183,
24/01/2017,11,61.48,80.5388,
24/01/2017,12,57.96,75.9276,
24/01/2017,13,51.78,67.8318,
24/01/2017,14,50.14,65.6834,
24/01/2017,15,49.08,64.2948,
24/01/2017,16,80.84,105.9004,
24/01/2017,17,1.61,2.1091,
24/01/2017,18,78.46,102.7826,
24/01/2017,19,65.26,85.4906,
24/01/2017,20,53.33,69.8623,
24/01/2017,21,46.66,61.1246,
24/01/2017,22,42.75,56.0025,
25/01/2017,23,44.98,58.9238,
25/01/2017,0,45.44,59.5264,
25/01/2017,1,45.02,58.9762,
25/01/2017,2,44.58,58.3998,
25/01/2017,3,43.43,56.8933,
